++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
 Tue Jun 28 11:57:23 2016
 a 1.1 b -90 a 0.8 b -90 a 0.2 c 0.6 180 a 0.6 b -90 a 0.8 b -90 a 1.2 
++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
      length        time  angle(tem)  angle(ave)  angle(des)        C_PI   field dir temperature
        1.08       15.28      -66.80      -67.50      -90.00        0.00     -105.03       63.84
        1.08       15.33      -68.20      -67.50      -90.00        0.00     -105.25       63.84
        1.08       15.38      -68.20      -67.85      -90.00        0.00     -105.45       63.73
        1.08       15.43      -68.20      -67.01      -90.00        0.00     -105.64       63.73
        1.08       15.48      -66.80      -66.66      -90.00        0.00     -105.90       63.67
        1.08       15.53      -68.20      -67.50      -90.00        0.00     -106.15       63.67
        1.08       15.58      -68.20      -67.85      -90.00        0.00     -106.35       63.78
        1.08       15.63      -68.20      -67.85      -90.00        0.00     -106.54       63.78
        1.08       15.68      -69.44      -68.16      -90.00        0.00     -106.76       63.86
        1.08       15.73      -68.20      -68.51      -90.00        0.00     -106.95       63.86
        1.08       15.78      -71.57      -69.04      -90.00        0.00     -107.17       63.95
        1.08       15.83      -69.44      -70.19      -90.00        0.00     -107.33       63.95
        1.08       15.88      -68.20      -69.35      -90.00        0.00     -107.51       63.83
        1.08       15.93      -71.57      -69.35      -90.00        0.00     -107.77       63.83
        1.08       15.98      -69.44      -69.66      -90.00        0.00     -107.93       63.92
        1.08       16.03      -70.02      -69.28      -90.00        0.00     -108.14       63.92
        1.08       16.08      -69.44      -69.59      -90.00        0.00     -108.38       64.13
        1.08       16.13      -69.44      -69.44      -90.00        0.00     -108.55       64.13
        1.08       16.18      -69.44      -69.44      -90.00        0.00     -108.76       63.94
        1.08       16.23      -71.57      -69.97      -90.00        0.00     -108.92       63.94
        1.08       16.28      -68.20      -69.35      -90.00        0.00     -109.17       63.80
        1.08       16.33      -70.02      -68.96      -90.00        0.00     -109.41       63.80
